0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,d,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
s,0,0,0,0,d,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,s,1,L,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1
0,0,1,L,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
0,0,0,L,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,L,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0
0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0
0,0,1,1,~,~,~,~,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
